Airline,Source,Destination,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Seasonality,Days Before Departure
Turkish Airlines,RJH,DEL,0.36151180225049684,1 Stop,Boeing 737,Economy,Online Website,30226.69502655047,10146.745373304557,Regular,49.19527666636319
FlyDubai,BZL,DEL,2.4127525141269834,1 Stop,Boeing 787,First Class,Direct Booking,153594.15148553994,22287.51319447547,Winter Holidays,65.958178333778
Air Arabia,ZYL,DOH,5.827774413069658,Direct,Boeing 737,First Class,Online Website,109568.56255778493,7798.266720737589,Regular,11.195892677647647
Air India,JSR,CGP,4.628463472945465,Direct,Airbus A320,Economy,Travel Agency,-16793.08713145403,482.7404539924338,Regular,9.353906111786856
NovoAir,SPD,BKK,3.4147467192532828,Direct,Boeing 787,Business,Direct Booking,87037.67014112821,16805.5502055608,Winter Holidays,10.808122708255235
Air Arabia,ZYL,DXB,3.177806003869636,Direct,Boeing 737,Economy,Online Website,33169.03512658639,18476.384581430677,Regular,79.34481793726229
Biman Bangladesh Airlines,RJH,LHR,10.198824252944677,1 Stop,Boeing 777,Business,Direct Booking,82877.25244062752,23050.758600435365,Regular,50.04613119998987
Thai Airways,CGP,RJH,5.138072484311299,Direct,Airbus A320,First Class,Direct Booking,-34935.77456527544,5119.287599680161,Regular,79.96418063030187
Thai Airways,JSR,KUL,-1.1787497951521044,Direct,Boeing 787,First Class,Direct Booking,210632.067721048,45959.83766386394,Regular,74.48122445791846
SriLankan Airlines,DAC,DXB,2.9698593582376054,Direct,Boeing 787,Economy,Online Website,7340.680503498999,-564.9362128754929,Regular,-2.5191569765009767
AirAsia,CXB,JED,6.934918664508478,2 Stops,Boeing 777,Economy,Direct Booking,43359.63935515478,7499.70358945796,Regular,32.01153812503631
Emirates,SPD,KUL,4.639896217268032,Direct,Boeing 787,Economy,Travel Agency,15010.764554445988,15653.711018949616,Regular,47.8185514339923
Turkish Airlines,CGP,JSR,2.4570233874514047,Direct,Airbus A320,Economy,Direct Booking,-41585.67858124633,-12633.970382364872,Winter Holidays,10.702875979559195
Gulf Air,CGP,DXB,6.2303690030515275,1 Stop,Boeing 737,Business,Direct Booking,44482.313121421976,-900.4341923655174,Winter Holidays,60.436855932910916
Lufthansa,BZL,IST,5.997466393864572,1 Stop,Boeing 777,First Class,Travel Agency,256162.21217573085,38778.32316703603,Winter Holidays,8.489003164526135
US-Bangla Airlines,JSR,YYZ,15.51328906776611,2 Stops,Airbus A350,First Class,Travel Agency,128223.25432597793,7091.041547372079,Regular,72.17827593623646
Malaysian Airlines,DAC,YYZ,19.563616426434365,1 Stop,Airbus A350,Economy,Travel Agency,30265.780655728184,7419.753806512832,Winter Holidays,75.95183414594322
Emirates,SPD,ZYL,-2.186633830734752,Direct,Airbus A320,Business,Direct Booking,-8756.221417981165,-2420.584558923187,Regular,86.68515131676327
Thai Airways,BZL,DAC,-0.3816584870699701,Direct,Airbus A320,First Class,Online Website,55097.466613493045,-1397.2257220711674,Winter Holidays,52.090911035461865
FlyDubai,JSR,KUL,2.8933344743430602,Direct,Boeing 787,First Class,Online Website,149302.56463028473,23603.695779698348,Regular,114.82709099069704
Air Astra,DAC,SIN,5.844802492133184,Direct,Boeing 737,Business,Travel Agency,129913.22404603269,23511.262705227502,Winter Holidays,48.8444241296256
Singapore Airlines,CGP,RJH,-0.8218876501555006,Direct,Airbus A320,First Class,Travel Agency,-25587.007330117027,-2806.3792438397268,Winter Holidays,23.1509783041762
